t, aX, aY, aZ, gX, gY, gZ
1.2867, -0.95, 0.19, 0.13, -48.17, 21.46, -18.72
1.2900, -1.05, 0.31, 0.19, -51.83, 20.73, -19.09
1.2933, -0.91, 0.23, 0.19, -54.27, 17.93, -19.15
1.2967, -1.08, 0.29, 0.15, -56.65, 14.76, -18.72
1.3000, -1.01, 0.36, 0.18, -59.27, 12.74, -16.34
1.3033, -0.91, 0.23, 0.25, -59.76, 10.24, -13.48
1.3067, -1.02, 0.16, 0.07, -60.37, 7.99, -11.52
1.3100, -0.98, 0.21, 0.08, -61.34, 6.28, -9.51
1.3133, -1.01, 0.14, 0.25, -62.80, 4.76, -7.93
1.3167, -0.94, 0.11, 0.10, -62.32, 2.99, -6.04
