t, aX, aY, aZ, gX, gY, gZ
1.0700, -1.00, 0.08, 0.09, 1.83, -0.49, -0.06
1.0733, -0.99, 0.08, 0.08, 1.77, -0.43, -0.12
1.0767, -1.00, 0.07, 0.08, 1.71, -0.30, -0.18
1.0800, -1.00, 0.08, 0.08, 1.71, -0.43, -0.18
1.0833, -1.01, 0.08, 0.08, 1.71, -0.49, -0.12
1.0867, -1.01, 0.07, 0.08, 1.77, -0.43, -0.12
1.0900, -0.99, 0.08, 0.07, 1.65, -0.43, -0.06
1.0933, -1.00, 0.08, 0.09, 1.65, -0.55, -0.06
1.0967, -1.00, 0.07, 0.09, 1.59, -0.37, -0.18
1.1000, -0.99, 0.07, 0.07, 1.71, -0.24, -0.06
1.1033, -1.00, 0.07, 0.07, 1.71, -0.43, -0.12
1.1067, -1.01, 0.08, 0.09, 1.65, -0.30, -0.12
1.1100, -1.00, 0.07, 0.08, 1.77, -0.37, -0.12
1.1133, -1.00, 0.08, 0.07, 1.65, -0.37, -0.12
1.1167, -1.00, 0.07, 0.08, 1.71, -0.24, -0.06
1.1200, -1.00, 0.08, 0.08, 1.77, -0.30, -0.12
1.1233, -0.99, 0.08, 0.09, 1.83, -0.18, -0.12
1.1267, -1.01, 0.08, 0.08, 1.77, -0.18, -0.18
1.1300, -1.00, 0.08, 0.09, 1.77, -0.30, -0.18
1.1333, -1.00, 0.07, 0.08, 1.71, -0.24, -0.06
1.1367, -1.00, 0.07, 0.07, 1.77, -0.12, -0.18
1.1400, -0.99, 0.08, 0.07, 1.83, -0.24, -0.18
1.1433, -0.99, 0.08, 0.07, 1.83, -0.18, -0.06
1.1467, -1.00, 0.08, 0.07, 1.77, -0.06, -0.18
1.1500, -1.00, 0.08, 0.08, 1.77, -0.06, -0.24
1.1533, -1.00, 0.07, 0.08, 1.71, -0.06, 0.00
1.1567, -1.00, 0.07, 0.08, 1.71, -0.12, 0.00
1.1600, -1.00, 0.07, 0.08, 1.52, -0.12, 0.06
1.1633, -1.00, 0.08, 0.08, 1.77, -0.12, -0.12
1.1667, -1.00, 0.07, 0.08, 1.83, 0.00, -0.24
1.1700, -1.00, 0.08, 0.08, 1.65, -0.06, -0.18
1.1733, -1.00, 0.08, 0.09, 1.65, -0.06, -0.12
1.1767, -1.00, 0.07, 0.07, 1.59, -0.06, -0.06
1.1800, -1.00, 0.08, 0.07, 1.59, -0.12, -0.12
1.1833, -1.00, 0.07, 0.08, 1.77, -0.06, -0.06
1.1867, -1.00, 0.07, 0.07, 1.71, -0.06, 0.00
1.1900, -1.00, 0.08, 0.10, 1.71, -0.06, 0.00
1.1933, -1.01, 0.07, 0.09, 1.77, 0.00, -0.06
1.1967, -0.99, 0.08, 0.09, 1.71, -0.06, -0.18
1.2000, -1.00, 0.08, 0.08, 1.65, -0.18, -0.18
1.2033, -1.00, 0.07, 0.06, 1.59, -0.12, -0.06
1.2067, -1.00, 0.07, 0.08, 1.71, -0.12, 0.00
1.2100, -1.00, 0.08, 0.06, 1.83, -0.06, 0.00
1.2133, -1.00, 0.08, 0.07, 1.83, -0.18, 0.00
1.2167, -1.00, 0.07, 0.08, 1.77, -0.06, 0.00
1.2200, -1.00, 0.08, 0.07, 1.65, 0.00, -0.06
1.2233, -1.00, 0.07, 0.08, 1.65, -0.06, -0.12
1.2267, -1.00, 0.08, 0.08, 1.77, -0.24, -0.18
1.2300, -1.00, 0.07, 0.07, 1.77, -0.12, -0.12
1.2333, -1.00, 0.07, 0.08, 1.71, -0.18, -0.12
1.2367, -1.00, 0.07, 0.08, 1.65, -0.18, -0.12
1.2400, -1.00, 0.07, 0.09, 1.59, -0.12, -0.18
1.2433, -0.99, 0.07, 0.07, 1.71, -0.24, -0.12
1.2467, -1.01, 0.08, 0.08, 1.77, -0.24, -0.06
1.2500, -1.00, 0.08, 0.08, 1.83, -0.30, -0.18
1.2533, -1.01, 0.08, 0.08, 1.59, -0.18, -0.12
1.2567, -1.00, 0.08, 0.08, 1.71, -0.24, -0.06
1.2600, -1.00, 0.08, 0.08, 1.71, -0.24, -0.12
1.2633, -0.99, 0.07, 0.07, 1.71, -0.24, -0.18
1.2667, -1.01, 0.08, 0.09, 1.71, -0.43, -0.18
1.2700, -1.00, 0.07, 0.08, 1.71, -0.37, -0.18
1.2733, -1.00, 0.08, 0.08, 1.77, -0.30, -0.18
1.2767, -1.00, 0.07, 0.09, 1.65, -0.24, 0.00
1.2800, -1.00, 0.07, 0.09, 1.77, -0.37, -0.18
1.2833, -1.00, 0.07, 0.08, 1.71, -0.37, -0.18
1.2867, -1.00, 0.08, 0.08, 1.71, -0.30, -0.12
1.2900, -1.00, 0.07, 0.08, 1.77, -0.24, -0.06
1.2933, -1.00, 0.08, 0.07, 1.77, -0.30, -0.18
1.2967, -1.00, 0.09, 0.07, 1.71, -0.30, 0.00
1.3000, -1.00, 0.07, 0.08, 1.52, -0.30, -0.06
1.3033, -0.99, 0.07, 0.08, 1.65, -0.43, -0.12
1.3067, -1.00, 0.07, 0.08, 1.65, -0.30, -0.18
1.3100, -0.99, 0.07, 0.08, 1.65, -0.24, 0.00
1.3133, -1.01, 0.07, 0.07, 1.52, -0.37, -0.06
1.3167, -1.00, 0.08, 0.09, 1.46, -0.37, -0.18
