t, aX, aY, aZ, gX, gY, gZ
1.0233, -0.82, 0.01, 0.57, 32.80, 4.27, 1.52
1.0267, -0.79, 0.01, 0.55, 32.32, 3.35, 0.85
1.0300, -0.79, -0.02, 0.54, 31.46, 3.11, 0.49
1.0333, -0.80, 0.01, 0.53, 30.49, 3.23, -0.30
1.0367, -0.79, 0.03, 0.50, 29.27, 4.15, -1.10
1.0400, -0.78, 0.06, 0.47, 27.38, 4.88, -2.13
1.0433, -0.81, 0.07, 0.49, 24.88, 5.98, -3.41
1.0467, -0.82, 0.04, 0.49, 21.59, 6.89, -5.12
1.0500, -0.81, 0.08, 0.46, 18.29, 7.68, -6.71
1.0533, -0.84, 0.08, 0.51, 15.24, 8.35, -8.23
1.0567, -0.85, 0.08, 0.47, 12.32, 9.09, -9.09
1.0600, -0.85, 0.09, 0.47, 9.94, 9.45, -9.94
1.0633, -0.87, 0.09, 0.50, 7.68, 8.96, -10.49
1.0667, -0.82, 0.09, 0.46, 5.61, 8.72, -10.37
1.0700, -0.86, 0.08, 0.52, 3.84, 7.87, -10.00
1.0733, -0.84, 0.09, 0.52, 2.44, 7.50, -9.33
1.0767, -0.80, 0.08, 0.51, 1.77, 7.80, -8.17
1.0800, -0.82, 0.08, 0.55, 1.04, 7.93, -6.65
1.0833, -0.80, 0.10, 0.55, 0.73, 8.78, -4.88
1.0867, -0.74, 0.06, 0.57, 0.91, 10.12, -2.99
1.0900, -0.81, 0.05, 0.56, 1.46, 11.22, -1.65
1.0933, -0.73, 0.10, 0.54, 2.56, 13.23, -0.37
1.0967, -0.78, 0.11, 0.58, 2.87, 15.49, 1.77
1.1000, -0.84, 0.08, 0.60, 4.70, 16.10, 2.87
1.1033, -0.77, 0.06, 0.56, 6.52, 17.80, 5.00
1.1067, -0.82, -0.30, 0.45, 7.74, 18.17, 7.26
1.1100, -0.91, 0.17, 0.68, 11.10, 16.89, 9.09
1.1133, -0.67, 0.35, 0.50, 14.39, 18.72, 12.80
1.1167, -0.91, 0.02, 0.74, 16.52, 15.98, 15.61
1.1200, -0.84, -0.01, 0.58, 20.00, 15.73, 18.17
1.1233, -0.76, -0.01, 0.57, 22.01, 16.95, 21.40
1.1267, -0.85, 0.02, 0.70, 23.35, 16.10, 23.78
1.1300, -0.75, 0.05, 0.58, 26.28, 17.32, 25.98
1.1333, -0.82, -0.02, 0.69, 28.17, 16.52, 27.87
1.1367, -0.79, 0.02, 0.64, 29.70, 16.46, 29.51
1.1400, -0.79, 0.05, 0.62, 31.77, 15.91, 29.88
1.1433, -0.85, 0.04, 0.69, 32.74, 13.96, 29.82
1.1467, -0.77, 0.06, 0.62, 33.35, 13.29, 29.76
