t, aX, aY, aZ, gX, gY, gZ
1.1800, -0.62, 0.01, 1.01, 0.06, 27.50, 16.10
1.1833, -0.62, 0.11, 0.99, -3.48, 25.18, 17.01
1.1867, -0.63, 0.04, 1.09, -5.67, 22.20, 17.93
1.1900, -0.51, 0.10, 1.08, -7.87, 18.60, 19.27
1.1933, -0.50, -0.02, 1.31, -9.02, 14.21, 19.94
1.1967, -0.47, 0.12, 1.04, -9.63, 8.72, 18.72
1.2000, -0.48, 0.14, 0.98, -8.84, 5.73, 18.17
1.2033, -0.45, -0.22, 0.92, -8.41, 3.17, 17.80
1.2067, -0.74, -0.18, 1.11, -8.29, -1.22, 16.77
1.2100, -0.54, -0.11, 0.83, -7.93, -6.40, 13.60
1.2133, -0.51, -0.01, 0.97, -7.68, -10.98, 10.67
1.2167, -0.58, -0.01, 0.98, -7.68, -14.21, 7.13
1.2200, -0.57, -0.02, 0.94, -7.07, -18.11, 3.05
1.2233, -0.52, -0.04, 0.92, -5.61, -21.71, 0.24
1.2267, -0.51, -0.05, 0.93, -4.27, -23.72, -3.17
1.2300, -0.44, 0.05, 0.90, -3.11, -25.00, -7.01
1.2333, -0.45, 0.01, 0.90, -0.73, -26.16, -11.89
1.2367, -0.49, -0.05, 0.90, 0.61, -27.32, -16.89
1.2400, -0.43, -0.01, 0.96, -0.30, -30.18, -20.37
1.2433, -0.50, 0.03, 0.94, -1.10, -34.21, -24.21
1.2467, -0.52, -0.00, 0.94, -1.52, -37.93, -28.48
1.2500, -0.45, -0.21, 1.13, -0.85, -42.20, -32.07
1.2533, -0.26, 0.06, 0.90, 3.35, -45.61, -37.26
1.2567, -0.37, 0.12, 1.01, 9.63, -48.05, -44.51
1.2600, -0.59, 0.23, 0.82, 11.77, -50.12, -50.00
1.2633, -0.51, -0.11, 1.06, 8.29, -53.05, -51.52
1.2667, -0.42, -0.02, 0.98, 5.06, -56.10, -51.77
1.2700, -0.05, -0.04, 0.42, 3.66, -56.59, -51.71
1.2733, -0.40, 0.28, 0.83, 1.46, -50.55, -54.70
1.2767, -0.33, -0.02, 0.67, -3.66, -38.17, -60.30
1.2800, -0.33, -0.12, 0.80, -8.96, -28.54, -59.82
1.2833, -0.38, -0.10, 0.85, -11.52, -17.38, -56.40
1.2867, -0.61, -0.06, 0.87, -10.49, -8.35, -52.38
1.2900, -0.36, -0.06, 0.79, -7.99, -4.09, -50.30
1.2933, -0.57, 0.11, 0.85, -4.09, -2.87, -48.17
1.2967, -0.65, 0.10, 0.92, -0.91, -5.30, -45.61
1.3000, -0.60, 0.03, 0.94, 2.44, -12.62, -41.46
1.3033, -0.37, 0.31, 0.60, 5.06, -19.63, -36.16
1.3067, -0.00, 0.61, 0.65, 5.98, -21.16, -31.04
1.3100, 0.18, 0.36, 0.66, -0.85, -15.30, -24.33
1.3133, -0.27, 0.42, 0.80, -11.10, -4.57, -20.24
1.3167, -0.55, 0.17, 0.84, -20.49, 6.04, -21.34
